item_id,name,category,subcategory,type,tech_tier,rarity,energy_type,origin_faction,description,status,source,related_terms,technical_summary,notes
resonator_t1,Basic Resonator,Modular,Resonators,tech_module,Tier 1,common,Resonant,United Systems,Simple harmonic resonator for basic frequency matching,Implemented,varchiver,Resonator;Wave Manipulation,"Frequency matching, harmonic stabilization, low-power signal amplification",First generation resonance technology
magitek_core_t2,Advanced Magitek Core,Modular,Cores,tech_module,Tier 2,uncommon,Magitek,Nethbound,Sophisticated core integrating magical and technological energies,Implemented,varchiver,Magitek Core;Gravimancy,"Mana-tech fusion, spell stability, energy conversion",Advanced integration technology
gravitic_field_t3,Elite Gravitic Field Generator,Modular,Field Shapers,tech_module,Tier 3,rare,Gravitic,Lokex Frame,Powerful device for precise gravitational field manipulation,Implemented,varchiver,Gravitic Field Generator;Gravity-Tech,"Spatial field control, quantum stability, gravitational manipulation",High-tier gravity control
thermal_regulator_t4,Legendary Thermal Regulator,Modular,Circuitry,tech_module,Tier 4,legendary,Thermal,Unknown,Ancient device for incredible thermal precision - rumored Precursor origin,Implemented,varchiver,Thermal Regulator;Ionocaloric,"Ion flow control, thermal efficiency, temperature regulation",Possibly Precursor technology
resonant_weapon_t2,Harmonic Blade,Physical,Weapons,weapon_melee_energy,Tier 2,uncommon,Resonant,Drush Syndicate,Melee weapon emitting resonant frequencies to disrupt molecular bonds,Implemented,varchiver,Harmonic Blade;Resonator,"Damage amplification, resistance mitigation, molecular disruption",Resonance-based combat technology
magitek_armor_t3,Arcane Plate,Physical,Armor,armor_heavy_suit,Tier 3,rare,Magitek,Nethbound,Heavy armor integrating magical protection with tech enhancements,Implemented,varchiver,Arcane Plate;Magitek Core,"Damage resistance, enchantment integration, hybrid protection",Magic-tech defensive fusion
gravitic_tool_t1,Basic Gravitic Manipulator,Physical,Tools,tool_utility_handheld,Tier 1,common,Gravitic,United Systems,Simple handheld tool for basic gravity manipulation tasks,Implemented,varchiver,Gravitic Manipulator;Gravity-Tech,"Object manipulation, force projection, basic utility",Entry-level gravity tool
thermal_consumable_t2,Heat Sink Pack,Physical,Consumables,consumable_utility_thermal,Tier 2,uncommon,Thermal,Multiple,Disposable heat sinks for rapid thermal management,Implemented,varchiver,Heat Sink Pack;Thermal Regulator,"Heat dissipation, emergency cooling, thermal management",Emergency thermal solution
spinjack_core_t1,Basic Spinjack Core,Modular,Core,tech_module_cybernetic,Tier 1,common,Kinetic,Drush Syndicate,Spinal implant storing and releasing kinetic energy from movement,Implemented,varchiver,Spinjack Core;Spinjack,"Kinetic storage, momentum transfer, energy release",Cybernetic enhancement system
turnstile_drive_t2,Turnstile Drive,Modular,Propulsion,tech_module_engine,Tier 2,uncommon,Resonant,Lokex Frame,Advanced propulsion using asymmetrical resonance fields,Implemented,varchiver,Turnstile Drive;Turnstile,"Angular velocity control, momentum efficiency, inertia modulation",Advanced propulsion technology
ionocaloric_mesh_t3,Ionocaloric Mesh,Modular,Thermal,tech_module_environmental,Tier 3,rare,Thermal,Feap Wardens,Advanced thermal control using ion cycling for temperature manipulation,Implemented,varchiver,Ionocaloric Mesh;Ionocaloric,"Ion cycling, thermal control, temperature regulation",Precision environmental control
caboodler_t2,Modular Caboodler,Utility,Tool,tech_module_multi_tool,Tier 2,uncommon,Modular,United Systems,Versatile utility system with interchangeable modules,Implemented,varchiver,Modular Caboodler;Caboodler,"Module hot-swap, power allocation, multi-function capability",Jack-of-all-trades device
rail_grindstone_t4,Rail Grindstone,Station,Power,station_module_power_generator,Tier 4,legendary,Kinetic,The Shrow,Massive kinetic apparatus with interdimensional portals for momentum storage,Implemented,varchiver,Rail Grindstone;Spinjack,"Massive power generation, interdimensional mechanics, momentum storage",Exotic power generation system
gravity_tech_foundational,Foundational Gravity-Tech Principles,Knowledge,Core Technology,research_data_core,Tier 0,essential,Gravitic,United Systems,Core data module with fundamental principles for gravity manipulation,Implemented,varchiver,Foundational Gravity-Tech Principles;Gravity-Tech,"Knowledge base, theoretical framework, foundational principles",Essential research foundation
wave_manipulation_foundational,Foundational Wave Manipulation Theory,Knowledge,Core Technology,research_data_advanced,Tier 0,essential,Various,United Systems,Comprehensive archive of wave spectrum manipulation theories,Implemented,varchiver,Foundational Wave Manipulation Theory;Wave Manipulation,"Theoretical foundation, wave physics, spectrum control",Advanced research archive
spacedrive_engine_t1,Basic Spacedrive Unit T1,Modular,Propulsion,tech_module_engine_ftl,Tier 1,common,Gravitic,United Systems,Early-generation FTL engine using localized spacetime bubbles,Implemented,varchiver,Spacedrive;Gravity-Tech,"FTL travel, spacetime manipulation, gravity wave control",Early FTL technology
directed_gravity_device_t1,Directed Gravity Device T1,Utility,Tools,tool_gravitic_manipulator_beam,Tier 1,common,Gravitic,United Systems,Handheld device for focused gravitic force projection,Implemented,varchiver,Directed Gravity Device;Gravitic Manipulator,"Beam projection, force manipulation, targeted gravity control",Basic gravity beam tool
